,kingdom,phylum,class,order,family,genus
ASV_1,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium
ASV_5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA
ASV_6,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
ASV_7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_9,Bacteria,Verrucomicrobiota,NA,NA,NA,NA
ASV_10,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_11,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_12,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_13,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_14,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia
ASV_15,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV_16,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_17,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_18,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_19,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_20,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
ASV_22,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_23,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_24,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA
ASV_25,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_26,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ASV_27,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
ASV_28,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_29,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_30,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_31,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_32,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_33,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_34,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_35,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_36,Bacteria,Firmicutes,Clostridia,Lachnospirales,NA,NA
ASV_37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_38,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_39,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella
ASV_40,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_41,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_42,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_43,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_44,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_45,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,NA,NA
ASV_46,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
ASV_47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_48,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV_49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_50,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA
ASV_51,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_52,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA
ASV_53,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV_54,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_55,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,NA,NA
ASV_56,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_57,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella
ASV_58,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Candidatus Blochmannia
ASV_59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV_60,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
ASV_61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_62,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_63,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_64,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
ASV_65,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_66,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA
ASV_67,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_68,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_69,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_70,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group
ASV_71,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_72,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,NA,NA
ASV_73,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,NA
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_75,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_77,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas
ASV_78,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,NA
ASV_79,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_80,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_81,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_82,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_83,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV_84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV_85,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_86,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_87,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_88,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,NA
ASV_89,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
ASV_90,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_93,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,NA,NA
ASV_94,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_95,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,NA
ASV_96,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV_97,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila
ASV_98,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
ASV_99,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV_100,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
ASV_101,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA
ASV_102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
ASV_103,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_104,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
ASV_105,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA
ASV_106,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,NA
ASV_107,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_108,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_109,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
ASV_110,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_112,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_113,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_114,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV_115,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
ASV_116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
ASV_117,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,NA,NA
ASV_118,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
ASV_119,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_120,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_121,Bacteria,Firmicutes,Clostridia,Lachnospirales,NA,NA
ASV_122,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella
ASV_123,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_125,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_126,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
ASV_128,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA
ASV_129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_130,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_131,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA
ASV_132,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
ASV_133,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
ASV_134,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA
