,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_2,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_3,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_4,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_5,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_7,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_8,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_9,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_10,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_11,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_12,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_14,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_16,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_17,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_18,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_19,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_20,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_21,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_23,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_25,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_26,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_27,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_29,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_30,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_31,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_32,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_34,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia
ASV_35,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_36,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_37,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_39,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_40,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_41,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_42,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum
ASV_43,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_44,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_45,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_46,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_47,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Paramyrothecium
ASV_48,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Albatrellaceae,g__Leucogaster
ASV_51,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Scopuloides
ASV_52,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_53,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
