Code,Genus,Host,ecoregion_III,ecoregion_IV
'STP1710.7_Salamander_Plethodon_serratus_cluster5',Plethodon,Salamander,Interior Plateau,Western Highland Rim
'STP1711.2_Salamander_Desmognathus_ocoee_cluster_9',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'STP1711.3_Salamander_Desmognathus_ocoee_cluster21',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'STP1715.1_Salamander_Eurycea_cirrigera_cluster19',Eurycea,Salamander,Interior Plateau,Outer Nashville Basin
'STP1716.1_Salamander_Plethodon_serratus_cluster19',Plethodon,Salamander,Interior Plateau,Outer Nashville Basin
'STP1717.1_Salamander_Eurycea_longicauda_cluster16',Eurycea,Salamander,Interior Plateau,Western Highland Rim
'STP1718.1_Salamander_Plethodon_serratus_cluster16',Plethodon,Salamander,Interior Plateau,Outer Nashville Basin
'STP1720.1_Salamander_Plethodon_serratus_cluster19',Plethodon,Salamander,Interior Plateau,Outer Nashville Basin
'STP1721.2_Salamander_Plethodon_serratus_cluster19',Plethodon,Salamander,Interior Plateau,Outer Nashville Basin
'STP1722.2_Salamander_Plethodon_serratus_cluster19',Plethodon,Salamander,Interior Plateau,Outer Nashville Basin
'UHM1.10153_Salamander_Aneides_aeneus_cluster20',Aneides,Salamander,Ridge and Valley,Southern Limestone Dolomite Valleys and Low Rolling Hills
'UHM14.10160_Frog_Lithobates_sylvaticus_cluster13',Lithobates,Frog,Southwestern Appalachians,Cumberland Plateau
'UHM148.10186_Salamander_Desmognathus_fuscus_cluster7',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM151.10187_Salamander_Desmognathus_fuscus_cluster18',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM160.10194_Salamander_Desmognathus_fuscus_cluster20',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM162.10195_Salamander_Desmognathus_fuscus_singleton',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM17.10163_Frog_Lithobates_sylvaticus_cluster21',Lithobates,Frog,Southwestern Appalachians,Cumberland Plateau
'UHM170.10205_Salamander_Desmognathus_fuscus_cluster20',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM182.10209_Salamander_Desmognathus_fuscus_cluster20',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM182.10210_Salamander_Desmognathus_fuscus_cluster11',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM182.10212_Salamander_Desmognathus_fuscus_singleton',Desmognathus,Salamander,Interior Plateau,Western Highland Rim
'UHM187.10219_Frog_Acris_crepitans_cluster21',Acris,Frog,Interior Plateau,Eastern Highland Rim
