sample ID,host_animal,host_genus,host_species,site,state,lat,lon,year,month ,day
STP292,frog,Lithobates,clamitans,Walker wetland,OH,41.01364241,-83.63142077,,,
STP293,frog,Lithobates,clamitans,Walker wetland,OH,41.01364241,-83.63142077,,,
STP294,frog,Lithobates,clamitans,Walker wetland,OH,41.01364241,-83.63142077,,,
STP503,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP505,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP509,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP510,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP511,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP512,frog,Acris,crepitans,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP513,frog,Acris,crepitans,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP516,frog,Acris,crepitans,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP564,frog,Acris,crepitans,"Tangipohoa River, Louisiana",LA,30.39555174,-90.32689225,,,
STP565,frog,Acris,crepitans,"Tangipohoa River, Louisiana",LA,30.39555174,-90.32689225,,,
STP572,frog,Anaxyrus,fowleri,"Manchas WMA, Louisiana",LA,30.28088655,-90.33981085,,,
STP583,frog,Lithobates,catesbeiana,"Ouachita National Forest, Arkansas",AR,34.74994169,-93.66852012,,,
STP586,frog,Lithobates,catesbeiana,"Ouachita National Forest, Arkansas",AR,34.74994169,-93.66852012,,,
STP537,lizard,Sceloporus,undulatus,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP538,lizard,Sceloporus,undulatus,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP539,lizard,Sceloporus,undulatus,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP540,lizard,Sceloporus,undulatus,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP541,lizard,Sceloporus,undulatus,Sandy Hollow WMA,LA,30.81224532,-90.39947253,,,
STP543,lizard,Sceloporus,undulatus,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
STP545,lizard,Sceloporus,undulatus,"Sandy Hollow WMA, Louisiana",LA,30.81224532,-90.39947253,,,
