,p3c_S96_L001_filtered.fastq.gz,stp1710-7_S24_L001_filtered.fastq.gz,stp1715-2_S60_L001_filtered.fastq.gz,stp1717-1_S36_L001_filtered.fastq.gz,stp1718-1_S48_L001_filtered.fastq.gz,UHM1-3285_S84_L001_filtered.fastq.gz,UHM3-3284_S72_L001_filtered.fastq.gz,tax.Kingdom,tax.Phylum,tax.Class,tax.Order,tax.Family,tax.Genus,tax.Species
ASV_1,93,40,0,158515,163209,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_2,0,12,0,0,0,109780,118305,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_3,7,91532,11,27,16,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_4,1,5,57317,3,17,0,3,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_5,4,35319,0,19,0,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_6,0,0,26980,0,0,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_7,1,0,1,0,0,8430,12990,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_8,3,20788,5,9,6,0,2,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_9,0,0,17067,0,0,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
ASV_10,0,0,11703,0,0,0,0,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,NA
