OTU,Size,Taxonomy
Otu0001,357991,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(99);
Otu0002,173842,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(90);
Otu0003,113573,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(99);
Otu0004,92023,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_heterosporus(100);
Otu0005,59799,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Trichocomaceae(100);g__Penicillium(100);s__Penicillium_lividum(96);
Otu0006,47953,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);g__Myrothecium(100);s__Myrothecium_tongaense(100);
Otu0007,43649,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Meruliaceae(100);g__Scopuloides(100);s__Scopuloides_hydnoides(100);
Otu0008,28922,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_biramosa(100);
Otu0009,27245,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Chaetomiaceae(100);g__Humicola(100);s__Humicola_nigrescens(100);
Otu0010,19998,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(99);
Otu0011,18754,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0012,17731,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Trichosporonales(100);f__Trichosporonaceae(100);g__Trichosporon(100);s__Trichosporon_dehoogii(100);
Otu0013,15960,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);g__Stachybotrys(100);s__Stachybotrys_eucylindrospora(100);
Otu0014,14877,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_pinghaense(100);
Otu0015,12432,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(100);
Otu0016,11366,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0017,10178,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(74);
Otu0018,9695,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);p__Ascomycota_unclassified(89);
Otu0019,9561,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(87);
Otu0020,8809,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(91);
Otu0021,8733,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(95);
Otu0022,8521,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(91);
Otu0023,7685,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Ganodermataceae(100);g__Ganoderma(100);s__Ganoderma_lucidum(100);
Otu0024,7572,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0025,7353,k__Fungi(100);p__Ascomycota(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);
Otu0026,6784,k__Fungi(100);p__Ascomycota(83);p__Ascomycota_unclassified(83);p__Ascomycota_unclassified(83);p__Ascomycota_unclassified(83);p__Ascomycota_unclassified(83);p__Ascomycota_unclassified(83);
Otu0027,6692,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);
Otu0028,6639,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);
Otu0029,6502,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
